watchers,forks
1,0
15,7
1,0
1,0
40,12
1,0
1,0
4,0
1,0
2,0
8,8
2,1
14,4
7,4
1,0
1,0
4,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
13,18
14,4
34,14
17,8
1,0
3,1
1,0
2,0
2,6
2,2
1,0
1,0
46,64
1,0
1,0
1,0
1,0
4,1
4,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
2,1
4,1
1,1
1,0
2,1
2,1
3,0
2,0
4,0
40,18
15,6
7,4
5,16
3,4
11,18
5,2
4,5
2,5
3,7
3,1
1,0
2,2
5,1
3,0
2,0
2,1
2,1
2,0
7,1
3,1
3,2
2,0
4,2
1,0
1,0
1,0
2,0
4,0
1,0
1,0
1,0
1,0
1,0
1,2
1,0
2,1
2,1
1,0
1,1
2,1
1,0
8,0
842,479
1,0
60,62
329,175
1,0
2,2
2,0
16,16
22,5
3,3
3,1
2,0
2,1
2,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
5,2
1,0
2,0
107,27
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
12,16
1,0
1,0
1,0
1,0
1,0
1,0
3,0
1,2
2,1
1,0
1,0
6,1
1,0
1,0
55,12
8,3
77,47
16,13
17,2
11,1
53,9
10,20
3,2
5,5
2,0
2,2
5,2
4,0
74,11
1,0
1,0
44,41
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,2
1,0
2,2
1,1
2,0
1,0
2,1
1,0
2,1
1,0
1,0
1,0
3,1
1,0
7,8
1,1
1,0
1,0
1,0
1,0
1,0
1,0
49,51
1,0
1,1
1,0
4,0
1,0
1,1
1,0
2,2
1,0
7,7
18,2
1,0
1,0
2,0
1,0
1,0
1,0
2,4
2,0
2,1
1,0
10,246
6,20
18,7
1,12
46,46
23,13
6,2
3,2
14,13
135,34
3,0
2,0
1,1
2,0
1,0
4,1
3,1
4,1
1,0
1,0
1,0
1,1
1,0
1,0
7,0
1,0
1,0
1,0
1,0
2,2
1,0
1,0
2,1
1,0
4,0
2,0
2,0
2,1
4,1
1,0
4,35
1,0
1,0
8,3
1,0
1,1
2,2
1,0
1,0
2,0
1,0
3,0
710,62
3,0
4,3
9,6
3,0
14,15
1,5
2,3
2,1
2,1
6,2
2,0
1,0
1,0
1,1
2,1
1,0
1,1
1,0
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
444,81
3,3
51,17
1,1
1,0
1,0
4,4
2,0
3,2
1,0
2,0
1,0
3,0
2,0
3,0
1,0
1,0
4,7
305,126
46,28
33,16
1,0
5,2
12,5
6,2
3,0
7,3
4,0
1,1
3,1
151,262
5,1
1,0
2,0
294,53
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
15,8
1,1
1,0
1,1
8,2
12,5
3,3
1,0
4,2
138,44
2,1
1,0
1,0
4,0
17,5
1,0
132,118
385,38
252,142
11,10
2,0
1,8
4,3
2,0
2,0
11,4
5,0
2,0
11,7
1,0
1,0
2,1
1,0
4,1
1,1
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
2,1
1,0
1,0
3,19
1,0
6,2
1,0
1,0
1,0
1,0
1,1
3,5
8,3
2,0
1,0
303,124
32,15
7,14
9,10
1,0
2,2
6,2
13,7
9,7
47,13
3,2
4,0
2,2
11,3
3,1
1,0
1,1
2,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
3,1
1,0
3,3
15,7
2,0
2,1
40,14
5,9
1181,312
1,0
702,433
7,1
2,0
1,1
24,17
4,0
1,0
1,0
166,51
2,0
14,10
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
9,0
159,100
12,7
8,6
10,8
2,2
3,0
2,0
4,0
6,7
1,0
9,10
1,0
16,4
2,1
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
2,0
3,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
3,1
2,1
1,0
1,0
1,0
1,0
1,0
3,0
1,0
4,2
4,0
2,0
1,0
8,2
4,1
1,0
1,0
22,2
1,0
2,0
2,0
2,9
6,4
4,7
1,0
14,2
1,8
9,3
1,6
3,1
2,0
1,0
2,0
2,0
1,0
1,0
1,0
2,1
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,1
7,1
2,0
1,0
4,6
8,1
17,1
16,6
3,1
1,0
2,0
3,0
2,1
3,1
1,0
1,0
21,0
40,14
2,2
15,3
14,14
122,14
2,1
1,0
2,1
3,2
4,1
1,0
1,0
1,0
1,1
1,2
2,1
2,2
1,0
5,1
1,0
1,0
1,0
1,1
1,0
1,0
2,0
1,0
3,0
2,0
1,0
4,0
1,0
618,132
1,0
1,0
1,0
1,0
1,0
2,0
5,0
2,0
1,0
7,2
1,0
1,0
1,0
1,0
155,11
1,0
1,0
1,0
1134,48
2,1
210,81
1,0
1,0
1,0
1,0
3,4
3,2
11,6
1,3
5,6
2,0
13,6
3,2
2,2
2,0
2,0
2,0
2,0
2,1
2,0
2,1
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,1
2,0
2,0
2,0
1,4
9,9
3,0
1,0
4,1
3,1
2,0
2,0
1,0
1,0
2,0
1,1
1,0
2,0
1,0
2,0
1,0
2,1
1,0
1,0
1,0
1,0
1,1
4,6
1,0
2,0
9,5
4,9
1,0
323,77
1,1
161,60
1,0
198,61
1,0
3,2
7,2
22,30
2,2
11,3
7,2
2,4
17,2
2,0
2,0
2,0
2,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
4,1
1,0
1,0
1,0
2,2
1,0
1,0
2,0
1,0
2,0
1,0
3,2
2,0
1,0
2,0
1,0
2,1
1,0
1,1
5,0
2,1
1,2
1,0
1,0
1,0
1,0
190,106
1,0
1,0
3,3
2,0
1,0
1,2
2,0
1,0
2,1
1,0
2,0
1,0
2,0
1,0
2,0
1,0
4,1
1,0
23,3
12,4
2,0
1,1
1,0
3,0
2,0
7,1
2,1
2,1
1258,519
1,0
66,14
5,0
1,0
2,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
5,2
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
293,84
1,0
2,1
1,0
10,4
1,0
3,0
1,0
7,3
1,1
1,1
827,385
2,2
3,0
29,5
167,45
10,6
1,0
1,1
3,1
2,0
1,0
2,0
3,0
1,0
1,1
1,0
1,0
4,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,1
1,0
2,2
1,0
1,0
1,0
1,1
447,146
1,0
1,0
1,0
1,0
1,0
1,0
4,1
1,0
7,1
4,0
1,0
15,6
3,1
1,0
1,1
170,45
137,88
1,0
1,2
19,6
1,0
1,0
1,0
8,18
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,2
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
298,42
1,0
421,81
1,1
5,0
1,1
10,10
127,82
3,4
1,0
2,0
1,0
2,0
26,11
1,0
1,0
5,4
4,3
1,0
4,4
3,13
3,3
229,84
2,4
2,4
3,4
2,0
4,0
7,2
3,1
1,4
2,0
3,0
10,7
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
8,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
3,0
2,0
1,0
1,0
1,0
224,233
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,2
1,0
1,0
1,0
1,0
1,0
1,0
1,1
3,1
3,0
6,9
5,4
8,5
4,0
1,0
20,11
3,3
5,4
6,10
6,0
3,5
4,3
3,6
9,0
6,1
2,2
3296,550
2,4
4,0
9,0
2,2
15,2
5,1
3,1
2,0
1,0
2,1
2,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
2,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
15,5
1,0
15,57
1,1
1,1
9,33
1,0
2,1
3,1
104,78
1,0
1,0
1,0
4,3
1,0
39,48
6,4
1,0
48,35
63,45
3,2
11,5
7,12
2,2
3,2
3,3
9,3
35,23
2,1
1,0
1,0
3,0
1,0
1,0
1,0
8,0
1,0
39,13
3,0
1,0
1,0
1,0
3,0
1,0
1,0
1,0
1,1
1,1
1,0
1,0
1,0
2,0
1,0
1,0
2,0
4,2
3,0
2,0
1,0
2,0
1,0
1,1
1,0
27,17
2,0
1,0
54,9
34,17
1,0
12,1
4,0
1,0
2,0
1,0
6,0
1,0
1,1
1,0
1,0
1,2
1,0
1,0
2,0
1,0
1,0
1,0
3,2
8,5
14,7
9,8
2,1
4,5
3,1
1,0
5,0
7,3
4,1
3,0
2,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
105,131
11,1
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
3567,499
790,96
1,0
2,0
1,0
1,0
8,3
1,0
1,0
1,0
6,0
2,3
4,0
3,0
6,0
1,0
2,0
4,1
2,0
2,0
1,0
1,0
1,0
1,4
53,107
3,5
8,3
13,4
2,3
3,3
3,5
1,5
6,6
16,3
1,0
1,0
3,3
5,3
2,0
1,0
1,0
1,0
2,0
1,0
1,0
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,2
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
403,164
1,1
1,0
1,0
1,0
1,0
1,0
3,0
2,2
2,0
1,0
2,0
1,0
1,0
3,0
1,0
1,0
2,0
1,0
4,2
31,5
8,5
3,0
21,9
4,1
5,6
2,2
4,2
3,2
3,0
1,0
3,0
3,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
2,1
1,0
1,0
1,5
1,0
1,0
1,0
1,0
1,0
11,6
1,0
1,1
21,12
1,0
1,0
1,1
301,39
1,0
2,0
7,0
1,0
1,2
1,0
5,1
1,0
21,8
12,20
3,2
1,0
10,2
3,1
1,2
3,1
197,149
5,0
2,0
1,0
3,0
2,0
1,0
1,0
1,0
1,1
2,1
1,0
2,1
2,1
1,0
8915,1272
1,0
1,0
2,0
1,0
1,1
1,0
1,0
3,0
1,0
1,1
3,0
1,0
1,0
1,1
1,0
2,0
4,0
1,0
4,1
1,0
1,0
1,0
12,3
1,0
2,0
1215,209
1,0
1,1
4,3
3,3
3,1
1,0
1,0
2,1
1,1
1,0
1,0
23,27
1,0
1,0
24,6
13,9
5,4
6,6
3,2
7,4
3,2
10,2
1,2
3,0
1,2
2,1
1,2
1,0
2,1
2,0
1,0
1,0
1,0
2,0
1,0
2,0
2,0
3,0
1,0
1,0
9,0
2,1
1,0
3,2
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
2,1
1,0
1,0
1,0
1,0
2,2
50,25
3,1
2,0
1,0
1,2
375,47
1,0
1,0
1,0
1,0
7,2
1,0
1,0
1,0
2,1
3,2
46,11
1,0
2,1
2,0
2,0
12,25
3,2
4,4
1,0
41,26
9,6
6,2
4,3
4,1
5,6
2,2
2,3
2,0
1,0
3,0
68,72
3,1
2,0
2,1
1,0
1,0
1,0
2,0
1,0
1,0
3,1
2,0
3,2
1,0
2,0
1,0
1,0
2,1
3,0
3,1
1,0
1,0
1,1
1,1
1,1
2,1
1,0
2,0
2,0
1,0
1,0
1,0
1,1
1,2
10,3
4,2
1,0
1,0
1,0
1,0
8,1
1,0
1,0
5,4
5,0
4,7
1,0
3,4
2,2
4,0
2,0
2,2
5,2
1,0
5,29
2,1
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
2,0
1,0
3,0
1,0
1,0
1,0
3,2
1,0
1,0
1,0
1,0
2,0
1,1
1,0
2,1
1,0
1,1
1,0
2,5
1,0
2,2
1,0
1,0
1,1
1,0
4,0
4,0
16,7
2,1
1,1
15,10
29,13
1,0
9,5
54,25
3,5
64,8
6,2
10,5
5,3
2,0
2,2
18,13
1,0
2,0
1,0
1,0
4,0
2,0
1,0
1,0
4,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
4,2
1,3
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
4,1
1,0
28,48
1,0
1,0
1,1
1,0
1,0
1,0
1,0
15,3
3,2
2,0
1,0
23,15
1,0
1,1
1,0
20,2
1,0
12,1
21,7
38,20
59,18
1,0
1,0
9,17
4,19
12,9
758,406
15,10
1,6
7,7
27,34
3,7
9,7
8,6
2,0
4,3
8,3
4,2
2,0
1,0
383,191
1,0
2,0
1,0
1,0
2,0
1,0
76,32
3,1
24,10
4,2
3,3
1,0
1,1
1,0
1,1
1,0
1,0
3,1
2,1
1,0
1,0
1,0
1,0
16,1
1,0
4,0
1,0
1,0
1,0
3,1
4,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
5,0
1,0
1,1
1,0
1,0
1,1
3,3
2,0
1,0
1,1
2,0
1,0
3,1
1,0
3,1
1,0
4,1
1,0
1,1
7,7
19,13
128,38
3,2
1,0
3,2
6,2
3,3
5,5
6,2
8,2
2,1
2,1
5,1
2,0
3,0
5,0
1,2
2,0
4,1
1,0
17,0
1,0
2,0
1,0
1,0
1,2
1,0
4,0
1,0
1,0
1,0
1,0
1,0
4,0
1,1
1,0
3,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
2,1
2,1
2,3
3,1
1,0
3,0
2,0
2,0
1,0
3,0
3,1
1,1
1,0
6,28
10,8
1,0
23,8
5,17
2,0
7,2
4,3
34,14
1,0
1,0
1,2
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,2
3,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
2,1
2,0
1,0
1,1
1,0
9,0
1,1
1,1
1,1
1,0
1,0
6,2
1,0
5,3
9,4
7,5
59,25
4,4
6,7
1,0
3,4
5,3
37,19
1,0
2,0
1,0
1,0
2,0
5,2
5,2
2,2
2,0
1,0
118,37
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,1
1,0
2,0
4,1
56,29
5,0
1,0
6,4
2,1
1,0
1,0
1,0
1,0
2,0
1,0
105,52
1,1
1,0
1,1
72,35
14,17
1,0
59,22
1,1
1,0
1,0
1,0
422,84
1,0
2,1
2,0
1,0
1,0
7,7
111,24
5,34
37,26
15,5
4,1
15,5
3,0
1,1
2,1
5,1
2,0
2,0
1,0
4,0
1,0
1,0
93,28
1,0
1,0
1,0
2,0
1,0
1,0
8,5
1,0
1,0
3,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
2,0
1,0
1,0
2,0
2,1
1,0
1,0
1,1
2,0
1,0
2,0
6,1
1,0
1,0
26,4
1,0
8,1
1,1
1,0
1,0
6,2
1,0
2,0
1,0
1,0
4,7
1,0
3,1
1,80
1,0
1,0
3,1
3,0
1,0
2,3
2,7
7,4
1,0
1,3
3,0
2,2
5,5
3,3
6,7
2,0
1,0
8,3
1,0
1,0
4,1
1,0
1,1
1,0
2,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
2,0
1,1
2,0
1,0
1,0
2,0
1,0
2,0
2,0
1,0
1,0
1,1
1,0
63,178
1,0
1,0
1,0
2,1
1,1
7,3
1,0
4,1
1,0
1,0
15,3
1,0
108,39
6,3
1,0
287,34
551,385
6,23
21,11
342,154
4,5
2,2
15,37
13,3
3,3
3,2
9,10
2,0
10,3
10,6
6,1
1,0
1,0
2,0
1,0
1,0
1,0
1,0
4,2
1,0
1,0
1,0
2,1
6,1
1,0
1,0
1,1
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,2
1,0
1,0
1,0
1,0
1,1
1,0
3,0
2,3
1,0
1,0
1,0
2,0
1,0
1,0
2,0
54,21
8,8
1,0
9,4
49,41
2,0
6,3
4,2
3,2
3,4
1,0
1,0
1,0
8,1
9,2
2,1
1,0
1,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
24,15
2,0
1,0
1,0
1,0
3,1
1,0
5,1
1,0
1,0
1,0
2,0
1,0
2,0
1,0
2,0
8,1
2,0
13,8
30,12
31,4
156,39
19,25
2,0
2,0
909,235
12,26
1,4
2,1
1,1
1,0
2,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,1
1,0
2,1
1,1
1,1
1,0
1,0
12,2
1,1
1,0
3,1
1,0
6,0
76,117
3,1
6,42
1,0
1,0
13,7
2,2
8,0
3,2
6,2
2,0
8,9
2,0
1,0
2,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
3,0
3,0
1,0
2,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
9,5
1,0
1,0
192,17
1,1
1,0
3,1
3,0
15,2
4,2
6,3
3,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
60,34
10,15
20,6
26,37
3,2
3,2
2,3
1,6
2,4
39,2
1,0
1,0
2,0
2,0
3,0
77,71
1,0
9,4
4,4
1,0
1,0
1,1
2,1
1,0
1,0
1,2
1,0
9,1
8,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
1,0
1,0
1,0
1,2
1,0
2,1
1,0
2,0
1,0
1,0
1,1
1,0
294,32
1,0
1,0
1,0
1,0
3,4
2,0
1,0
2,0
1,0
2,0
1,0
2,0
1,1
2,0
1494,331
1,0
1,0
1,0
42,33
9,3
2,5
412,274
1,0
5,3
4,4
13,5
5,3
5,4
1,4
3,1
4,5
11,2
3,0
2,3
2,0
4,3
4,3
3,3
1,0
1,0
2,0
2,0
2,1
2,0
1,0
1,0
1,0
1,0
2,0
1,0
75,6
2,2
1,0
2,0
1,0
1,0
1,0
1,0
1,0
3,0
1,0
1,1
1,2
6,6
1,1
1,0
1,0
1,0
2,0
2,0
2,0
15,4
6,5
2,1
1,0
269,85
13,3
1,0
47,5
71,11
2,1
1,0
1,0
4,0
1,1
18,14
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
62,27
34,17
15,9
5,7
3,2
4,2
2,0
7,3
1,4
4,7
2,0
2,2
3,2
2,0
2,0
3,0
1,0
2,0
1,0
4,1
5,0
1,0
1,0
1,0
1,0
1,0
2,0
3,0
1,2
3,0
1,0
8,5
2,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
803,358
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,4
1,0
4,4
2,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
2,0
18,6
1,0
1,0
2,0
4,1
1,0
11,11
4,25
1,0
1,0
3,3
4,2
4,2
48,17
28,38
2,0
3,2
2,1
1,2
3,0
1,0
3,1
1,0
1,0
1,0
9,7
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
4,0
1,0
1,0
2,1
1,0
1,0
1,0
2,1
2,1
1,0
1,0
43,39
1,0
1,0
1,0
4,1
1,0
16,5
3,2
1,0
67,33
2,0
1,0
1,0
3,4
1,3
2,0
2,0
1,0
1,0
4,0
1,0
3,1
1,0
2,1
3,1
3,0
1,0
1,1
1,0
1,0
1,0
1,1
2,1
1,0
1,0
941,247
2,0
4,3
1,0
9,0
1,1
1,0
1,0
1,0
4,1
2,0
1,0
1,0
1,0
1,0
3,1
1,1
3,0
1,0
2,0
2,0
1,0
9,8
1,0
6,2
5,3
9,12
7,2
1,3
2,0
4,3
4,1
6,4
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
5,1
2,1
1,0
1,0
1,1
2,0
1,0
1,0
1,0
23,13
1,0
2,0
1,1
1,1
1,0
124,39
3,0
1,1
1,0
1,0
1,0
2,1
1,0
1,0
6,0
1,0
6,25
2259,757
3,2
11,4
24,7
1,0
4,3
3,3
2,0
9,3
4,1
1,0
2,0
3,0
1,1
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,1
30,13
1,0
1,0
1,0
3,0
19,47
3,0
1,0
1,0
1,0
1,0
24,29
1,0
2,0
12,6
1,1
1,1
2,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,1
20,18
12,11
7,15
1,0
28,16
69,50
3,3
7,1
15,11
6,9
1,0
2,1
2,1
3,1
2,1
1,0
5,3
1,0
1,0
2,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,0
3,1
2,0
1,1
1,0
1,0
3,0
3,0
1,0
2,0
2,0
1,0
1,0
1,0
1,0
1,1
1,1
1,0
2,1
1,0
1,0
2,0
1,0
1,0
1,0
12,11
1,0
2,0
1,0
42,7
1,0
1,0
2,1
1,0
1,0
2,1
10,14
4,0
1,0
1,0
1,0
1,1
2,1
1,0
1,0
1,0
2,1
7,1
7,21
11,14
236,95
3,6
404,188
6,3
4,3
3,23
3,0
3,10
3,2
3,1
2,1
2,1
3,0
1,0
2,0
2,1
3,2
1,1
1,0
1,0
1,0
4,1
1,0
1,0
1,0
1,1
3,1
1,0
1,0
1,0
1,0
2,0
1,0
1,0
2,0
1,0
1,1
1,0
192,95
4,2
2,1
2,3
1,0
1,0
3,2
1,0
2,0
1,1
89,9
2,0
1,0
10,3
1,0
2,0
1,1
3,0
1,0
1,0
1,0
1,0
2,0
2,2
36,14
221,124
1,1
1,0
1,0
9,7
5,5
10,5
5,8
5,10
14,7
2,0
3,1
2,2
2,1
1,0
1,1
1,0
9,4
1,0
1,0
1,0
38,28
1,0
1,0
2,1
1,0
1,0
1,1
1,0
1,0
1,0
2,1
1,0
2,0
1,0
1,0
1,2
1,0
1,0
4,0
38,21
1,0
1,0
32,21
1,0
1,10
1,0
1,0
1,0
12,9
5,1
2,0
1,0
2,1
1,0
2,1
3,1
8,2
1,0
1,0
1,0
8,2
1,0
345,162
75,38
12,11
45,52
1,0
3,0
11,11
9,5
1,2
1,0
1,0
2,0
6,0
1,0
1,0
3,2
2,0
1,0
4,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
3,1
2,0
2,0
1,0
3,0
1,0
1,0
3,1
1,0
8,0
794,498
2,0
1,0
1,0
1,0
3,1
1,0
1,0
1,3
1,0
5,0
50,16
1,0
79,26
1,0
14,9
1,0
3,1
15,0
1,1
1,0
1,0
2,0
1,1
1,0
1,0
2,0
2,0
12,2
1,0
1,0
1,0
43,15
8,2
20,16
7,22
141,83
3,2
2,0
3,0
4,1
4,2
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,1
1,0
1,0
1,0
8,1
1,0
1,0
2,1
1,0
2,1
2,1
3,1
1,1
1,0
32,12
1,0
1,1
1,0
1,0
1,0
1,0
4,3
2,0
3,2
1,0
1,0
21,20
22,3
2,0
52,12
2,0
1,0
35,14
2488,869
288,87
1,0
2,0
2,4
5,5
31,9
15,4
1,8
5,0
5,4
1,2
2,2
42,24
2,1
14,7
2,3
2,0
3,2
1,0
2,0
1,0
1,0
1,0
1,1
1,0
1,0
1,0
1,1
1,0
2,1
1,0
1,0
2,0
1,0
2,1
4,0
2,0
2,0
1,0
73,19
17,8
5,2
1,0
2,1
4,1
1,0
1,0
1,1
1,0
1,3
1,0
1,0
1,0
1,0
5,0
1,0
1,1
1,0
1878,2010
74,19
8,15
1,0
2,2
8,3
3,3
6,4
4,4
5,6
5,1
1,0
1,0
1,3
1,0
1,2
162,54
2,3
2,0
1,0
1,0
1,0
1,0
1,0
1,1
3,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
2,0
1,0
1,0
1,1
1,0
1,0
2,0
33,32
1,0
14,7
2,0
4,0
4,0
1,0
2,0
2,0
22,5
1,0
4,4
1,0
35,3
1,2
1,0
1,0
1,1
5,7
31,20
1,0
19,3
14,13
7,10
5,2
1,0
23,10
23,23
3,2
4,1
2,1
3,0
2,0
1,1
3,1
3,0
1,0
1,0
9,6
4,1
1,1
3,2
1,0
287,27
1,0
1,0
1,1
354,107
1,0
1,0
1,0
1,0
1,0
1,0
3,1
1,1
1,0
1,0
1,0
2,0
2,1
1,1
4,6
2,2
1,0
2,1
11,7
7,3
2,1
1,0
1,0
2,0
81,17
1,1
1,0
23,3
7,1
6,3
1,0
4,1
4,0
3,0
2,0
1,0
5,5
10,6
10,13
1,0
49,16
32,24
6,1
29,24
11,4
6,5
3,7
2,1
1,2
2,1
29,9
1,0
1,0
1,2
2,2
1,0
1,0
3702,1677
1,0
1,1
1,0
1,0
2,2
1,0
1,0
1,0
1,0
1,1
6,4
1,0
1,0
1,0
1,0
1,0
2,0
1,0
1,0
1,0
1,0
3,1
1,0
1,0
322,113
4,4
1,0
1,0
4,1
1,0
21,34
3,2
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,1
1,1
1,0
5,5
32,70
200,277
385,230
9,8
1,6
5,7
3,2
19,4
10,7
50,21
8,3
1,0
2,2
3,2
1,0
3,0
3,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
129,49
1,0
1,0
1,0
1,0
927,546
1,0
2,0
1,4
1,0
2,0
1,1
3,2
7,1
1,0
1,0
22,22
3,5
39,17
5,13
6,3
2,0
81,36
4,2
8,6
21,9
3,2
1,0
1,0
1,1
1,0
1,0
1,1
2,1
4,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
2,1
1,0
1,2
2,0
1,0
1,0
2,1
3,2
21,9
2,1
3,0
1,0
1,0
3,1
1,1
1,1
1,0
1,0
1,1
1,1
5,0
1,0
2,1
1,0
3,0
1,0
1,0
11,10
1,0
46,20
7,5
2,0
9,3
2,2
3,3
14,2
4,3
2,1
1,0
3,1
26,8
3,1
3,0
1,0
1,1
1,0
1,0
1,0
1,0
1,0
1,0
1,0
9,8
1,0
1,0
1,0
2,1
1,0
1,0
1,0
2,0
3,3
12,5
1,0
1,0
1,0
36,17
10,3
8,2
23,7
1,0
1,3
2,0
1,0
2,0
1,0
1,0
4,3
5,34
10,13
12462,2512
2,1
4,4
7,3
2,3
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
7,10
1,0
1,0
1,0
1,0
6,4
1,0
1,0
1,0
2,0
3,1
1,0
2,0
1,0
1,0
1,1
2,0
1,0
90,28
1,1
22,8
1,0
1,0
1,0
1,0
3,2
1,0
1,0
2,2
1,0
1,0
2,0
3,0
6,2
2,0
1,0
1,0
2,0
1,0
473,161
1,0
1,0
28,21
104,94
30,24
3,129
26,16
7,5
6,4
1,0
4,4
2,2
2,4
2,2
2,0
3,1
6,0
10,2
2,0
1,0
1,0
1,0
1,0
1,0
3,0
1,1
